"ECSO_labels","ECSO_ID"
"date nest age determined","http://purl.dataone.org/odo/ecso_00002116"
"date nest last active","http://purl.dataone.org/odo/ecso_00002365"
"date nest or den found","http://purl.dataone.org/odo/ecso_00002111"
"date of capture","http://purl.dataone.org/odo/ecso_00002107"
"date of gas chromatography analysis","http://purl.dataone.org/odo/ecso_00002115"
"date of observation","http://purl.dataone.org/odo/ecso_00002124"
"date of predator and lemming survey","http://purl.dataone.org/odo/ecso_00002109"
"date snow cover on flat areas estimated at 50 percent","http://purl.dataone.org/odo/ecso_00002119"
"date trap checked","http://purl.dataone.org/odo/ecso_00002120"
"date trapping started","http://purl.dataone.org/odo/ecso_00002121"
"date treatment applied","http://purl.dataone.org/odo/ecso_00002112"
"day of month","http://purl.dataone.org/odo/ecso_00002122"
"day of year","http://purl.dataone.org/odo/ecso_00002058"
"day of year all plants senesced","http://purl.dataone.org/odo/ecso_00002062"
"day of year bud burst","http://purl.dataone.org/odo/ecso_00002063"
"day of year hatch date estimate","http://purl.dataone.org/odo/ecso_00002105"
"day of year maximum flowers observed","http://purl.dataone.org/odo/ecso_00002064"
"day of year measurement made","http://purl.dataone.org/odo/ecso_00002060"
"day of year nest last active","http://purl.dataone.org/odo/ecso_00002364"
"day of year sample collected","http://purl.dataone.org/odo/ecso_00002059"
"day of year senescence onset","http://purl.dataone.org/odo/ecso_00002065"
"days elapsed","http://purl.dataone.org/odo/ecso_00002123"
"dbh","http://purl.dataone.org/odo/ecso_00000549"
"dead deciduous shrub percent cover","http://purl.dataone.org/odo/ecso_00001607"
"dead erect dwarf shrub percent cover","http://purl.dataone.org/odo/ecso_00001632"
"dead erect forb percent cover","http://purl.dataone.org/odo/ecso_00001610"
"dead evergreen shrub percent cover","http://purl.dataone.org/odo/ecso_00001614"
"dead low shrub percent cover","http://purl.dataone.org/odo/ecso_00001618"
"dead mat and cushion forb percent cover","http://purl.dataone.org/odo/ecso_00001620"
"dead non tussock graminoid percent cover","http://purl.dataone.org/odo/ecso_00001622"
"dead prostrate dwarf shrub percent cover","http://purl.dataone.org/odo/ecso_00001626"
"dead tussock graminoid percent cover","http://purl.dataone.org/odo/ecso_00001629"
"degrees east","http://purl.dataone.org/odo/ecso_00002249"
